Capture_Ch1_28072015_143901 Compressing video. Total time = 0:22:09, fps = 12.2; Frame 16000 
Capture_Ch1_28072015_140551 Compressing video. Total time = 0:22:12, fps = 12.2; Frame 16000 
Capture_Ch1_28072015_111800 Compressing video. Total time = 0:22:14, fps = 12.0; Frame 16000 
Capture_Ch1_28072015_163028 Compressing video. Total time = 0:22:27, fps = 12.0; Frame 16000 
Capture_Ch1_28072015_120247 Compressing video. Total time = 0:22:31, fps = 12.2; Frame 16500 
Capture_Ch2_28072015_111800 Compressing video. Total time = 0:22:36, fps = 12.3; Frame 16500 
Capture_Ch1_28072015_143901 Compressing video. Total time = 0:22:51, fps = 11.9; Frame 16500 
Capture_Ch1_28072015_140551 Compressing video. Total time = 0:22:53, fps = 12.0; Frame 16500 
Capture_Ch1_28072015_111800 Compressing video. Total time = 0:22:55, fps = 12.0; Frame 16500 
Capture_Ch1_28072015_163028 Compressing video. Total time = 0:23:08, fps = 12.1; Frame 16500 
Capture_Ch1_28072015_120247 Compressing video. Total time = 0:23:12, fps = 12.2; Frame 17000 
Capture_Ch2_28072015_111800 Compressing video. Total time = 0:23:17, fps = 12.2; Frame 17000 
Capture_Ch1_28072015_143901 Compressing video. Total time = 0:23:32, fps = 12.1; Frame 17000 
Capture_Ch1_28072015_140551 Compressing video. Total time = 0:23:34, fps = 12.1; Frame 17000 
Capture_Ch1_28072015_111800 Compressing video. Total time = 0:23:37, fps = 12.0; Frame 17000 
Capture_Ch1_28072015_163028 Compressing video. Total time = 0:23:50, fps = 11.9; Frame 17000 
Capture_Ch1_28072015_120247 Compressing video. Total time = 0:23:53, fps = 12.1; Frame 17500 
Capture_Ch2_28072015_111800 Compressing video. Total time = 0:23:58, fps = 12.3; Frame 17500 
Capture_Ch1_28072015_143901 Compressing video. Total time = 0:24:14, fps = 12.0; Frame 17500 
Capture_Ch1_28072015_140551 Compressing video. Total time = 0:24:16, fps = 12.0; Frame 17500 
Capture_Ch1_28072015_111800 Compressing video. Total time = 0:24:19, fps = 11.9; Frame 17500 
Capture_Ch1_28072015_163028 Compressing video. Total time = 0:24:32, fps = 12.1; Frame 17500 
Capture_Ch1_28072015_120247 Compressing video. Total time = 0:24:34, fps = 12.4; Frame 18000 
Capture_Ch2_28072015_111800 Compressing video. Total time = 0:24:38, fps = 12.5; Frame 18000 
Capture_Ch1_28072015_143901 Compressing video. Total time = 0:24:55, fps = 12.2; Frame 18000 
Capture_Ch1_28072015_140551 Compressing video. Total time = 0:24:58, fps = 12.2; Frame 18000 
Capture_Ch1_28072015_111800 Compressing video. Total time = 0:25:00, fps = 12.2; Frame 18000 
Capture_Ch1_28072015_163028 Compressing video. Total time = 0:25:13, fps = 12.0; Frame 18000 
Capture_Ch1_28072015_120247 Compressing video. Total time = 0:25:15, fps = 12.1; Frame 18500 
Capture_Ch2_28072015_111800 Compressing video. Total time = 0:25:18, fps = 12.4; Frame 18500 
Capture_Ch1_28072015_143901 Compressing video. Total time = 0:25:36, fps = 12.2; Frame 18500 
Capture_Ch1_28072015_140551 Compressing video. Total time = 0:25:40, fps = 11.8; Frame 18500 
Capture_Ch1_28072015_111800 Compressing video. Total time = 0:25:43, fps = 11.8; Frame 18500 
Capture_Ch1_28072015_163028 Compressing video. Total time = 0:25:55, fps = 11.9; Frame 18500 
Capture_Ch1_28072015_120247 Compressing video. Total time = 0:25:57, fps = 12.1; Frame 19000 
Capture_Ch2_28072015_111800 Compressing video. Total time = 0:25:59, fps = 12.3; Frame 19000 
Capture_Ch1_28072015_143901 Compressing video. Total time = 0:26:18, fps = 12.0; Frame 19000 
Capture_Ch1_28072015_140551 Compressing video. Total time = 0:26:21, fps = 12.1; Frame 19000 
Capture_Ch1_28072015_111800 Compressing video. Total time = 0:26:24, fps = 12.1; Frame 19000 
Capture_Ch1_28072015_163028 Compressing video. Total time = 0:26:37, fps = 12.1; Frame 19000 
Capture_Ch1_28072015_120247 Compressing video. Total time = 0:26:38, fps = 12.2; Frame 19500 
Capture_Ch2_28072015_111800 Compressing video. Total time = 0:26:39, fps = 12.4; Frame 19500 
Capture_Ch1_28072015_143901 Compressing video. Total time = 0:27:00, fps = 12.0; Frame 19500 
Capture_Ch1_28072015_140551 Compressing video. Total time = 0:27:02, fps = 12.2; Frame 19500 
Capture_Ch1_28072015_111800 Compressing video. Total time = 0:27:06, fps = 12.1; Frame 19500 
Capture_Ch1_28072015_120247 Compressing video. Total time = 0:27:18, fps = 12.4; Frame 20000 
Capture_Ch1_28072015_163028 Compressing video. Total time = 0:27:19, fps = 12.0; Frame 19500 
Capture_Ch2_28072015_111800 Compressing video. Total time = 0:27:20, fps = 12.3; Frame 20000 
Capture_Ch1_28072015_143901 Compressing video. Total time = 0:27:42, fps = 11.8; Frame 20000 
Capture_Ch1_28072015_140551 Compressing video. Total time = 0:27:44, fps = 12.1; Frame 20000 
Capture_Ch1_28072015_111800 Compressing video. Total time = 0:27:48, fps = 11.8; Frame 20000 
Capture_Ch1_28072015_120247 Compressing video. Total time = 0:28:00, fps = 12.0; Frame 20500 
Capture_Ch2_28072015_111800 Compressing video. Total time = 0:28:01, fps = 12.1; Frame 20500 
